year,month,mean_temp_monthly,blh_monthly,station_id
2023,11,5.25,536.6,ul_dietla
2023,12,1.98,496.9,ul_dietla
2024,1,-0.35,,ul_dietla
2024,2,6.66,,ul_dietla
2024,3,7.51,,ul_dietla
2024,4,11.48,,ul_dietla
2024,5,16.54,,ul_dietla
2024,6,19.68,,ul_dietla
2024,7,21.9,597.0,ul_dietla
2024,8,21.23,481.1,ul_dietla
2024,9,17.13,481.0,ul_dietla
2024,10,10.44,321.7,ul_dietla
2024,11,3.8,395.7,ul_dietla
2024,12,2.03,350.8,ul_dietla
2019,1,-1.68,517.1,zloty_rog
2019,2,2.99,459.7,zloty_rog
2019,3,6.31,704.5,zloty_rog
2019,4,10.32,596.3,zloty_rog
2019,5,12.61,535.5,zloty_rog
2019,6,21.8,565.8,zloty_rog
2019,7,19.56,677.9,zloty_rog
2019,8,20.52,471.0,zloty_rog
2019,9,15.06,549.3,zloty_rog
2019,10,11.19,342.5,zloty_rog
2019,11,6.88,254.3,zloty_rog
2019,12,2.82,379.0,zloty_rog
2020,1,1.35,349.5,zloty_rog
2020,2,4.19,660.8,zloty_rog
2020,3,5.0,603.5,zloty_rog
2020,4,9.77,665.4,zloty_rog
2020,5,11.88,654.9,zloty_rog
2020,6,18.26,509.2,zloty_rog
2020,7,19.25,542.3,zloty_rog
2020,8,21.01,562.5,zloty_rog
2020,9,15.65,378.8,zloty_rog
2020,10,10.63,368.4,zloty_rog
2020,11,5.24,265.7,zloty_rog
2020,12,1.59,221.6,zloty_rog
2021,1,-1.43,334.1,zloty_rog
2021,2,-1.13,358.0,zloty_rog
2021,3,3.56,535.1,zloty_rog
2021,4,6.41,619.2,zloty_rog
2021,5,12.57,657.2,zloty_rog
2021,6,19.49,564.1,zloty_rog
2021,7,21.61,500.9,zloty_rog
2021,8,17.67,497.4,zloty_rog
2021,9,14.46,463.6,zloty_rog
2021,10,9.12,390.5,zloty_rog
2021,11,5.17,383.7,zloty_rog
2021,12,-0.24,397.5,zloty_rog
2022,1,0.49,644.0,zloty_rog
2022,2,3.38,750.2,zloty_rog
2022,3,2.67,423.3,zloty_rog
2022,4,6.87,638.4,zloty_rog
2022,5,14.75,633.0,zloty_rog
2022,6,19.74,618.5,zloty_rog
2022,7,19.8,617.6,zloty_rog
2022,8,20.94,440.8,zloty_rog
2022,9,13.44,495.8,zloty_rog
2022,10,11.69,338.3,zloty_rog
2022,11,4.36,240.5,zloty_rog
2022,12,0.24,332.6,zloty_rog
2023,1,2.95,423.6,zloty_rog
2023,2,1.47,624.7,zloty_rog
2023,3,5.54,610.0,zloty_rog
2023,4,7.83,566.6,zloty_rog
2023,5,12.96,534.1,zloty_rog
2023,6,17.94,549.8,zloty_rog
2023,7,20.93,585.4,zloty_rog
2023,8,20.69,426.7,zloty_rog
2023,9,17.98,386.5,zloty_rog
2023,10,12.32,474.9,zloty_rog
2023,11,5.03,536.6,zloty_rog
2023,12,1.78,496.9,zloty_rog
2024,1,-0.58,,zloty_rog
2024,2,6.5,,zloty_rog
2024,3,7.35,,zloty_rog
2024,4,11.39,,zloty_rog
2024,5,16.47,,zloty_rog
2024,6,19.64,,zloty_rog
2024,7,22.01,597.0,zloty_rog
2024,8,21.37,481.1,zloty_rog
2024,9,17.23,499.9,zloty_rog
2024,10,10.36,331.7,zloty_rog
2024,11,3.64,394.5,zloty_rog
2024,12,1.97,356.5,zloty_rog
